SP Name,Service Name,Tariff,Short Code,Opt-In,Opt-Out,Out Of Balance,Charged Units,Total Revenue,Date
MobMerchant,Travel Buddy 360,300 IQD,4054,1,2,118,65,"19,500.00 IQD",8/25/2024
Window,Arab Cooking,300 IQD,4054,0,0,8,0,0.00 IQD,8/25/2024
Window,FIFA Tutorials,300 IQD,4054,0,0,2,0,0.00 IQD,8/25/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,4,624,574,"172,200.00 IQD",8/25/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,0,2,683,592,"177,600.00 IQD",8/25/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,19,14,"4,200.00 IQD",8/25/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,4,404,396,"118,800.00 IQD",8/25/2024
Window,GameZilla-GOnline,300 IQD,4054,0,0,52,61,"18,300.00 IQD",8/25/2024
Window,GameZilla-SAOnline,300 IQD,4054,0,1,787,788,"236,400.00 IQD",8/25/2024
Window,GameZilla-SOnline,300 IQD,4054,0,7,180,158,"47,400.00 IQD",8/25/2024
